TON_COMBINAISON,POSITION_SYL,F0_10%,F0_20%,F0_30%,F0_40%,F0_50%,F0_60%,F0_70%,F0_80%,F0_90%,F0_100%
T1+T1,S1,0.646317479,0.654052164,0.655148739,0.656934432,0.688642443,0.731079272,0.760546619,0.753825106,0.679713819,0.516850905
T1+T1,S2,0.095885629,-0.027385803,-0.116088694,-0.195720977,-0.285568349,-0.416938108,-0.565280145,-0.681503985,-0.727844556,-0.723401288
T1+T2,S1,0.649183842,0.705830896,0.731453847,0.748152208,0.773357755,0.796875718,0.805132219,0.786202709,0.72351676,0.577039918
T1+T2,S2,0.176565754,-0.017481148,-0.167971101,-0.250363103,-0.300417077,-0.329198274,-0.359667428,-0.37638349,-0.376783923,-0.343483563
T1+T3,S1,0.527908419,0.633205239,0.656221839,0.667628393,0.686306743,0.70016133,0.698987201,0.683707721,0.643623207,0.552501006
T1+T3,S2,0.323087957,0.206344049,0.101877107,-0.01184949,-0.129509832,-0.246010286,-0.352965627,-0.435542334,-0.462239044,-0.366017977
T1+T4,S1,0.482494165,0.548013345,0.589893957,0.60229463,0.595082368,0.573647583,0.539362524,0.489105957,0.42018754,0.330429342
T1+T4,S2,0.0743053,-0.002050461,0.017151,0.018155057,-0.062275402,-0.174330691,-0.240363015,-0.283635917,-0.331842663,-0.319969833
T1+T5,S1,0.541932213,0.585129814,0.627427105,0.667465109,0.703739429,0.73250787,0.755519489,0.773955187,0.783625791,0.769328038
T1+T5,S2,0.680225403,0.640201595,0.611732091,0.583459204,0.539345122,0.465972378,0.337705716,0.118448237,-0.196070086,-0.424667012
T2+T1,S1,0.300970239,0.216159054,0.151483224,0.107456531,0.073776354,0.044090036,0.013622845,-0.000261412,0.025709289,0.092753853
T2+T1,S2,0.293373913,0.401860604,0.44554235,0.465393791,0.476419508,0.474617569,0.46990483,0.478024675,0.511146214,0.563915212
T2+T2,S1,-0.169681682,-0.089015899,-0.021256715,0.012442395,0.021885519,0.015578773,0.011138758,0.006124159,0.02178265,0.050016324
T2+T2,S2,0.117806089,0.230570334,0.241620859,0.222810836,0.221569592,0.2385629,0.266622582,0.304536645,0.349602608,0.38422389
T2+T3,S1,-0.04769835,-0.017536534,-0.007371331,-0.01766809,-0.042083481,-0.059315182,-0.076537436,-0.098752162,-0.133954974,-0.197632086
T2+T3,S2,-0.358066871,-0.360421644,-0.291300539,-0.20320253,-0.128352407,-0.07253983,-0.025797659,0.029293583,0.10928584,0.219406065
T2+T4,S1,-0.009589276,0.072577442,0.123664439,0.142108423,0.14264702,0.134976499,0.128446271,0.122772658,0.128095041,0.127832238
T2+T4,S2,0.146958677,0.19492627,0.250868572,0.30191147,0.341133074,0.363915829,0.377188276,0.391734067,0.400937121,0.390624519
T2+T5,S1,0.275742667,0.239229089,0.221797658,0.211054016,0.201775766,0.192644421,0.177815086,0.15778161,0.126985515,0.067734288
T2+T5,S2,-0.094795796,-0.143858945,-0.126467074,-0.061691075,0.031048922,0.123611713,0.201259901,0.267935091,0.333892279,0.416715338
T3+T1,S1,0.018762427,-0.058970954,-0.127335713,-0.187427748,-0.236346644,-0.273379709,-0.304092595,-0.32644634,-0.326496423,-0.300218564
T3+T1,S2,-0.178786589,-0.109333774,-0.068759462,-0.026481871,0.011314569,0.044602464,0.074749878,0.110782858,0.158003244,0.204291353
T3+T2,S1,-0.013946054,-0.110399477,-0.184518347,-0.246764921,-0.320689973,-0.383527635,-0.417751667,-0.46750169,-0.564248724,-0.709149807
T3+T2,S2,-0.255405604,-0.065124208,0.008649296,0.038268504,0.054699706,0.061991454,0.069622566,0.085662026,0.106676526,0.125584327
T3+T3,S1,-0.377072646,-0.504169108,-0.605186688,-0.658926187,-0.686932003,-0.695537819,-0.69167644,-0.693550287,-0.71145834,-0.710878103
T3+T3,S2,-0.673482939,-0.608131017,-0.553955251,-0.483336547,-0.420466,-0.352011078,-0.281934273,-0.215960385,-0.146724851,-0.050803568
T3+T4,S1,-0.078640599,-0.075911035,-0.103717988,-0.153238875,-0.208190657,-0.253139078,-0.282501564,-0.299396686,-0.297391676,-0.242377197
T3+T4,S2,-0.125357089,-0.052945238,-0.006774566,0.021238257,0.040231081,0.054738556,0.060128144,0.076466869,0.106836787,0.145350151
T3+T5,S1,-0.134423815,-0.127474972,-0.168572527,-0.234845913,-0.295471286,-0.337291503,-0.376311887,-0.416970708,-0.477785186,-0.564181245
T3+T5,S2,-0.662919302,-0.573945319,-0.482459499,-0.393082774,-0.30899764,-0.236031897,-0.162334704,-0.075706827,0.043317559,0.216377547
